时间,经度,维度
2020-07-10 12:31:09,121.4127124,31.1766991
2020-07-10 12:31:09,121.4127132,31.1767014
2020-07-10 12:31:09,121.4127145,31.1767029
2020-07-10 12:31:10,121.4127167,31.1767049
2020-07-10 12:31:10,121.412717,31.1767063
2020-07-10 12:31:10,121.4127167,31.1767063
2020-07-10 12:31:10,121.412717,31.1767063
2020-07-10 12:31:11,121.4127171,31.1767063
2020-07-10 12:31:11,121.4127167,31.1767064
2020-07-10 12:31:11,121.4127168,31.1767059
2020-07-10 12:31:11,121.4127164,31.1767055
2020-07-10 12:31:11,121.4127159,31.1767052
2020-07-10 12:31:12,121.4127153,31.1767051
2020-07-10 12:31:12,121.4127153,31.176705
2020-07-10 12:31:12,121.4127153,31.176705
2020-07-10 12:31:12,121.4127151,31.1767051
2020-07-10 12:31:14,121.412712,31.1767051
2020-07-10 12:31:14,121.412712,31.1767049
2020-07-10 12:31:14,121.4127117,31.1767048
2020-07-10 12:31:14,121.4127116,31.1767047
2020-07-10 12:31:15,121.4127115,31.1767047
2020-07-10 12:31:15,121.4127115,31.1767046
2020-07-10 12:31:15,121.4127111,31.1767045
2020-07-10 12:31:15,121.4127109,31.1767045
2020-07-10 12:31:15,121.412711,31.1767045
2020-07-10 12:31:16,121.4127108,31.1767046
2020-07-10 12:31:16,121.4127108,31.1767047
2020-07-10 12:31:16,121.412711,31.1767046
2020-07-10 12:31:17,121.4127109,31.1767047
2020-07-10 12:31:17,121.4127109,31.1767047
2020-07-10 12:31:17,121.4127108,31.1767048
2020-07-10 12:31:17,121.4127108,31.1767048
2020-07-10 12:31:17,121.4127107,31.1767049
2020-07-10 12:31:18,121.4127106,31.1767049
2020-07-10 12:31:18,121.4127105,31.176705
2020-07-10 12:31:18,121.4127102,31.1767052
2020-07-10 12:31:18,121.41271,31.1767053
2020-07-10 12:31:18,121.4127098,31.1767055
2020-07-10 12:31:19,121.4127096,31.1767055
2020-07-10 12:31:19,121.4127096,31.1767056
2020-07-10 12:31:19,121.4127097,31.1767056
2020-07-10 12:31:19,121.4127097,31.1767057
2020-07-10 12:31:19,121.4127097,31.1767057
2020-07-10 12:31:20,121.4127098,31.1767058
2020-07-10 12:31:20,121.4127098,31.1767059
2020-07-10 12:31:20,121.4127097,31.1767059
2020-07-10 12:31:20,121.4127097,31.1767059
2020-07-10 12:31:20,121.4127097,31.176706
2020-07-10 12:31:21,121.4127097,31.1767061
2020-07-10 12:31:21,121.4127097,31.1767062
2020-07-10 12:31:21,121.4127098,31.1767063
2020-07-10 12:31:21,121.4127098,31.1767064
2020-07-10 12:31:21,121.4127102,31.1767065
2020-07-10 12:31:22,121.4127105,31.1767066
2020-07-10 12:31:22,121.4127108,31.1767066
2020-07-10 12:31:22,121.4127111,31.1767068
2020-07-10 12:31:22,121.4127113,31.1767067
2020-07-10 12:31:22,121.4127117,31.1767067
2020-07-10 12:31:23,121.4127115,31.1767074
2020-07-10 12:31:23,121.4127115,31.1767078
2020-07-10 12:31:23,121.4127112,31.1767076
2020-07-10 12:31:23,121.4127111,31.1767073
2020-07-10 12:31:23,121.4127097,31.1767076
2020-07-10 12:31:24,121.4127093,31.176708
2020-07-10 12:31:24,121.4127126,31.1767069
2020-07-10 12:31:25,121.4127213,31.176706
2020-07-10 12:31:25,121.4127213,31.176706
2020-07-10 12:31:25,121.4127397,31.1767042
2020-07-10 12:31:26,121.4127482,31.176703
2020-07-10 12:31:26,121.4127565,31.1767012
2020-07-10 12:31:26,121.4127655,31.176699
2020-07-10 12:31:26,121.4127755,31.1766966
2020-07-10 12:31:26,121.4127862,31.176694
2020-07-10 12:31:27,121.4127976,31.1766911
2020-07-10 12:31:27,121.4128099,31.1766884
2020-07-10 12:31:27,121.4128233,31.176686
2020-07-10 12:31:27,121.4128375,31.1766833
2020-07-10 12:31:27,121.4128532,31.1766808
2020-07-10 12:31:28,121.4128712,31.176678
2020-07-10 12:31:28,121.4128913,31.1766742
2020-07-10 12:31:28,121.4129135,31.1766701
2020-07-10 12:31:28,121.4129368,31.1766659
2020-07-10 12:31:28,121.412961,31.1766619
2020-07-10 12:31:29,121.4130093,31.1766533
2020-07-10 12:31:29,121.4130313,31.1766497
2020-07-10 12:31:29,121.4130514,31.176646
2020-07-10 12:31:29,121.4130682,31.1766421
2020-07-10 12:31:30,121.4130819,31.176639
2020-07-10 12:31:30,121.4130915,31.1766366
2020-07-10 12:31:30,121.4130981,31.1766343
2020-07-10 12:31:30,121.4131038,31.1766324
2020-07-10 12:31:30,121.4131094,31.1766305
2020-07-10 12:31:31,121.4131153,31.1766285
2020-07-10 12:31:31,121.4131219,31.1766262
2020-07-10 12:31:31,121.4131293,31.1766241
2020-07-10 12:31:31,121.4131375,31.1766219
2020-07-10 12:31:31,121.4131468,31.1766195
2020-07-10 12:31:32,121.4131581,31.1766164
2020-07-10 12:31:32,121.4131715,31.1766129
2020-07-10 12:31:32,121.4131869,31.176609
2020-07-10 12:31:32,121.4132037,31.1766044
2020-07-10 12:31:32,121.4132217,31.1765992
2020-07-10 12:31:33,121.4132405,31.1765938
2020-07-10 12:31:33,121.4132599,31.1765881
2020-07-10 12:31:33,121.4132795,31.1765825
2020-07-10 12:31:33,121.4132994,31.1765767
2020-07-10 12:31:33,121.4133199,31.1765706
2020-07-10 12:31:34,121.4133411,31.1765641
2020-07-10 12:31:34,121.4133627,31.1765572
2020-07-10 12:31:34,121.4133845,31.1765502
2020-07-10 12:31:34,121.4134063,31.1765431
2020-07-10 12:31:34,121.4134282,31.1765359
2020-07-10 12:31:35,121.4134504,31.1765285
2020-07-10 12:31:35,121.4134727,31.1765209
2020-07-10 12:31:35,121.4134954,31.1765131
2020-07-10 12:31:35,121.4135186,31.1765051
2020-07-10 12:31:35,121.413542,31.176497
2020-07-10 12:31:36,121.4135656,31.1764889
2020-07-10 12:31:36,121.413589,31.1764807
2020-07-10 12:31:36,121.4136123,31.1764726
2020-07-10 12:31:36,121.4136355,31.1764647
2020-07-10 12:31:36,121.4136586,31.1764566
2020-07-10 12:31:37,121.4136816,31.1764485
2020-07-10 12:31:37,121.4137047,31.1764401
2020-07-10 12:31:37,121.4137278,31.1764316
2020-07-10 12:31:37,121.4137512,31.176423
2020-07-10 12:31:37,121.4137746,31.1764143
2020-07-10 12:31:38,121.4138218,31.1763965
2020-07-10 12:31:38,121.4138454,31.1763875
2020-07-10 12:31:38,121.4138454,31.1763875
2020-07-10 12:31:38,121.4138692,31.1763783
